No | Time (HH:mm:ss) | % O2 in Effluent | Sequence Discreapancy
101 | 06:49:56 | 14.295 | -0.015
102 | 06:50:08 | 14.31 | 0.015
103 | 06:50:26 | 13.524 | -0.786
104 | 06:50:44 | 14.08 | 0.556
105 | 06:51:04 | 14.04 | -0.04
106 | 06:51:24 | 14.03 | -0.01
107 | 06:51:42 | 14.04 | 0.01
108 | 06:52:02 | 14.05 | 0.01
109 | 06:52:20 | 14.05 | 0.00
110 | 06:52:32 | 13.96 | -0.09
111 | 06:52:44 | 14.2 | 0.24
112 | 06:53:06 | 14.4 | 0.2
113 | 06:53:40 | 14.29 | -0.11
114 | 06:53:54 | 14.321 | 0.031
115 | 06:54:06 | 14.3 | -0.021
116 | 06:54:18 | 14.355 | 0.055
117 | 06:54:34 | 14.345 | -0.010
118 | 06:54:53 | 14.06 | -0.285
119 | 06:55:13 | 14.06 | 0.00
120 | 06:55:33 | 14.03 | -0.03
121 | 06:55:51 | 14.04 | 0.01
122 | 06:56:11 | 14.06 | 0.02
123 | 06:56:27 | 13.83 | -0.23
124 | 06:56:39 | 14.64 | 0.81
125 | 06:56:53 | 15.01 | 0.37
126 | 06:57:21 | 14.22 | -0.79
127 | 06:57:41 | 14.339 | 0.119
128 | 06:57:53 | 14.29 | -0.049
129 | 06:58:05 | 14.33 | 0.04
130 | 06:58:17 | 14.3 | -0.03
131 | 06:58:39 | 14.169 | -0.131
132 | 06:58:59 | 14.02 | -0.149
133 | 06:59:17 | 14.05 | 0.03
134 | 06:59:37 | 14.02 | -0.03
135 | 06:59:55 | 14.08 | 0.06
136 | 07:00:15 | 14.02 | -0.06
137 | 07:00:27 | 13.94 | -0.08
138 | 07:00:41 | 14.46 | 0.52
139 | 07:01:07 | 14.19 | -0.27
140 | 07:01:29 | 14.315 | 0.125
141 | 07:01:41 | 14.295 | -0.020
142 | 07:01:53 | 14.315 | 0.020
143 | 07:02:05 | 14.305 | -0.010
144 | 07:02:28 | 16.946 | 2.641
145 | 07:02:48 | 14.06 | -2.886
146 | 07:03:08 | 14.03 | -0.03
147 | 07:03:26 | 14.05 | 0.02
148 | 07:03:46 | 14.03 | -0.02
149 | 07:04:04 | 14.05 | 0.02
150 | 07:04:16 | 14.46 | 0.41
151 | 07:04:28 | 14.15 | -0.31
152 | 07:05:00 | 14.18 | 0.03
153 | 07:05:24 | 14.374 | 0.194
154 | 07:05:36 | 14.295 | -0.079
155 | 07:05:48 | 14.33 | 0.035
156 | 07:06:00 | 14.31 | -0.02
157 | 07:06:22 | 16.434 | 2.124
158 | 07:06:42 | 14.03 | -2.404
159 | 07:07:02 | 14.03 | 0.00
160 | 07:07:20 | 14.05 | 0.02
161 | 07:07:40 | 14.03 | -0.02
162 | 07:07:56 | 14.37 | 0.34
163 | 07:08:08 | 14.15 | -0.22
164 | 07:08:26 | 14.4 | 0.25
165 | 07:08:50 | 14.14 | -0.26
166 | 07:09:12 | 14.405 | 0.265
167 | 07:09:24 | 14.305 | -0.100
168 | 07:09:36 | 14.335 | 0.030
169 | 07:09:48 | 14.325 | -0.010
170 | 07:10:08 | 14.124 | -0.201
171 | 07:10:26 | 14.06 | -0.064
172 | 07:10:46 | 14.02 | -0.04
173 | 07:11:04 | 14.05 | 0.03
174 | 07:11:24 | 14.04 | -0.01
175 | 07:11:42 | 14.05 | 0.01
176 | 07:11:54 | 14.16 | 0.11
177 | 07:12:06 | 14.94 | 0.78
178 | 07:12:34 | 13.89 | -1.05
179 | 07:12:56 | 14.394 | 0.504
180 | 07:13:08 | 14.34 | -0.054
181 | 07:13:20 | 14.32 | -0.02
182 | 07:13:32 | 14.335 | 0.015
183 | 07:13:54 | 16.519 | 2.184
184 | 07:14:14 | 14.03 | -2.489
185 | 07:14:34 | 14.06 | 0.03
186 | 07:14:54 | 14.04 | -0.02
187 | 07:15:12 | 14.08 | 0.04
188 | 07:15:32 | 14.03 | -0.05
189 | 07:15:44 | 13.46 | -0.57
190 | 07:15:56 | 13.68 | 0.22
191 | 07:16:26 | 14.16 | 0.48
192 | 07:16:50 | 14.41 | 0.25
193 | 07:17:02 | 14.3 | -0.11
194 | 07:17:14 | 14.325 | 0.025
195 | 07:17:26 | 14.315 | -0.010
196 | 07:17:49 | 16.441 | 2.126
197 | 07:18:09 | 14.04 | -2.401
198 | 07:18:31 | 14.03 | -0.01
199 | 07:18:51 | 14.03 | 0.00
200 | 07:19:11 | 14.03 | 0.00
201 | 07:19:27 | 13.82 | -0.21
202 | 07:19:39 | 14.16 | 0.34
203 | 07:19:53 | 13.7 | -0.46
204 | 07:20:21 | 14.19 | 0.49
205 | 07:20:39 | 14.27 | 0.08
206 | 07:20:51 | 14.325 | 0.055
207 | 07:21:03 | 14.325 | 0.000
208 | 07:21:15 | 14.33 | 0.005
209 | 07:21:34 | 16.941 | 2.611
210 | 07:21:56 | 14.03 | -2.911
211 | 07:22:16 | 14.02 | -0.01
212 | 07:22:36 | 14.02 | 0.00
213 | 07:22:54 | 14.08 | 0.06
214 | 07:23:14 | 14.03 | -0.05
215 | 07:23:26 | 13.96 | -0.07
216 | 07:23:38 | 14.67 | 0.71
217 | 07:24:04 | 14.12 | -0.55
218 | 07:24:28 | 14.447 | 0.327
219 | 07:24:40 | 14.31 | -0.137
220 | 07:24:52 | 14.355 | 0.045
221 | 07:25:04 | 14.325 | -0.030
222 | 07:25:27 | 14.165 | -0.160
223 | 07:25:47 | 14.03 | -0.135
224 | 07:26:05 | 14.06 | 0.03
225 | 07:26:25 | 14.02 | -0.04
226 | 07:26:43 | 14.05 | 0.03
227 | 07:27:05 | 14.03 | -0.02
228 | 07:27:17 | 14.2 | 0.17
229 | 07:27:29 | 15 | 0.8
